IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
251.0,164.0,192.0,185.0,7.0,,799.0,159.8,6670.960000000001,999
16.0,22.0,42.0,5.0,45.0,,130.0,26.0,234.8,406
196.0,215.0,128.0,100.0,94.0,,733.0,146.6,2480.6400000000003,999
84.0,111.0,123.0,67.0,77.0,,462.0,92.4,447.0400000000001,999
20.0,5.0,14.0,105.0,2.0,,146.0,29.2,1477.36,999
146.0,214.0,133.0,60.0,179.0,,732.0,146.4,2655.44,999
73.0,95.0,62.0,54.0,57.0,,341.0,68.2,221.36000000000004,999
161.0,178.0,147.0,243.0,50.0,,779.0,155.8,3878.9600000000005,999
57.0,75.0,88.0,203.0,147.0,,570.0,114.0,2891.2,999
126.0,82.0,255.0,69.0,64.0,,596.0,119.2,5087.760000000001,999
122.0,181.0,100.0,37.0,102.0,,542.0,108.4,2133.0400000000004,999
11.0,1.0,39.0,47.0,41.0,,139.0,27.8,333.76,640
56.0,175.0,82.0,26.0,129.0,,468.0,93.6,2799.4399999999996,999
215.0,150.0,98.0,210.0,53.0,,726.0,145.2,3964.5600000000004,999
110.0,97.0,52.0,100.0,43.0,,402.0,80.4,748.24,999
55.0,51.0,150.0,96.0,59.0,,411.0,82.2,1407.7599999999998,999
9.0,116.0,20.0,59.0,51.0,,255.0,51.0,1402.8,999
46.0,58.0,39.0,108.0,177.0,,428.0,85.6,2671.44,999
65.0,116.0,64.0,52.0,14.0,,311.0,62.2,1066.56,999
104.0,100.0,55.0,107.0,157.0,,523.0,104.6,1046.64,999
186.0,12.0,8.0,138.0,60.0,,404.0,80.8,4960.96,999
95.0,200.0,2.0,57.0,96.0,,450.0,90.0,4198.8,999
0.0,8.0,4.0,10.0,0.0,,22.0,4.4,16.64,188
31.0,47.0,95.0,35.0,63.0,,271.0,54.2,540.1600000000001,999
146.0,139.0,210.0,99.0,46.0,,640.0,128.0,2946.8,999
3.0,41.0,38.0,3.0,68.0,,153.0,30.6,617.04,999
7.0,137.0,62.0,89.0,115.0,,410.0,82.0,2037.6,999
10.0,92.0,13.0,88.0,160.0,,363.0,72.6,3144.6400000000003,999
93.0,162.0,40.0,9.0,180.0,,484.0,96.8,4424.5599999999995,999
76.0,16.0,57.0,86.0,41.0,,276.0,55.2,624.56,999
233.0,111.0,8.0,79.0,81.0,,512.0,102.4,5409.44,999
140.0,50.0,20.0,76.0,93.0,,379.0,75.8,1639.36,999
13.0,77.0,78.0,25.0,61.0,,254.0,50.8,724.9599999999999,999
1.0,2.0,22.0,9.0,9.0,,43.0,8.6,56.24000000000001,151
119.0,55.0,211.0,49.0,177.0,,611.0,122.2,4154.56,999
105.0,136.0,255.0,77.0,35.0,,608.0,121.6,5553.44,999
81.0,178.0,176.0,156.0,88.0,,679.0,135.8,1818.56,999
226.0,153.0,119.0,198.0,188.0,,884.0,176.8,1380.56,999
169.0,170.0,229.0,98.0,64.0,,730.0,146.0,3404.4,999
36.0,142.0,54.0,65.0,83.0,,380.0,76.0,1322.0,999
39.0,178.0,99.0,56.0,122.0,,494.0,98.8,2443.76,999
59.0,14.0,47.0,0.0,32.0,,152.0,30.4,457.84,338
113.0,46.0,167.0,77.0,41.0,,444.0,88.8,2191.36,999
