IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
82.0,102.0,89.0,39.0,4.0,,316.0,63.2,1322.96,999
35.0,12.0,132.0,133.0,65.0,,377.0,75.4,2456.2400000000002,999
8.0,174.0,161.0,77.0,143.0,,563.0,112.6,3849.04,999
47.0,11.0,23.0,84.0,38.0,,203.0,40.6,623.44,999
5.0,82.0,85.0,82.0,81.0,,335.0,67.0,962.8,999
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,165
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,169
17.0,13.0,96.0,82.0,25.0,,233.0,46.6,1233.04,999
41.0,27.0,41.0,32.0,78.0,,219.0,43.8,321.35999999999996,999
3.0,10.0,85.0,34.0,28.0,,160.0,32.0,830.8,999
0.0,10.0,0.0,2.0,4.0,,16.0,3.2,13.76,161
0.0,0.0,3.0,0.0,5.0,,8.0,1.6,4.24,93
13.0,10.0,17.0,7.0,0.0,,47.0,9.4,33.040000000000006,323
11.0,0.0,1.0,6.0,0.0,,18.0,3.6,18.640000000000004,148
6.0,2.0,0.0,0.0,2.0,,10.0,2.0,4.8,72
1.0,4.0,0.0,0.0,4.0,,9.0,1.8,3.3600000000000003,111
0.0,3.0,0.0,0.0,4.0,,7.0,1.4,3.04,36
2.0,2.0,0.0,0.0,1.0,,5.0,1.0,0.8,58
0.0,2.0,0.0,0.0,3.0,,5.0,1.0,1.6,69
3.0,0.0,0.0,1.0,0.0,,4.0,0.8,1.36,47
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,99
0.0,0.0,0.0,2.0,0.0,,2.0,0.4,0.6400000000000001,47
0.0,0.0,2.0,1.0,0.0,,3.0,0.6,0.6399999999999999,52
0.0,2.0,3.0,1.0,0.0,,6.0,1.2,1.36,60
0.0,0.0,7.0,0.0,7.0,,14.0,2.8,11.76,130
3.0,0.0,0.0,5.0,0.0,,8.0,1.6,4.24,74
4.0,1.0,0.0,1.0,0.0,,6.0,1.2,2.1599999999999993,47
0.0,1.0,0.0,3.0,3.0,,7.0,1.4,1.8399999999999999,71
1.0,0.0,1.0,1.0,1.0,,4.0,0.8,0.16000000000000006,12
1.0,5.0,0.0,0.0,0.0,,6.0,1.2,3.7600000000000002,113
1.0,2.0,7.0,0.0,0.0,,10.0,2.0,6.8,100
1.0,0.0,1.0,0.0,1.0,,3.0,0.6,0.24000000000000005,21
0.0,1.0,2.0,0.0,1.0,,4.0,0.8,0.56,67
0.0,5.0,3.0,3.0,1.0,,12.0,2.4,3.0399999999999996,96
0.0,1.0,1.0,8.0,0.0,,10.0,2.0,9.2,67
7.0,1.0,0.0,0.0,1.0,,9.0,1.8,6.960000000000001,57
1.0,0.0,1.0,0.0,0.0,,2.0,0.4,0.24000000000000005,59
2.0,1.0,0.0,0.0,2.0,,5.0,1.0,0.8,38
7.0,0.0,6.0,0.0,0.0,,13.0,2.6,10.24,197
1.0,0.0,0.0,0.0,0.0,,1.0,0.2,0.16000000000000006,39
4.0,4.0,1.0,4.0,1.0,,14.0,2.8,2.16,105
11.0,8.0,0.0,1.0,0.0,,20.0,4.0,21.2,106
1.0,3.0,0.0,2.0,1.0,,7.0,1.4,1.0400000000000003,29
1.0,0.0,0.0,0.0,7.0,,8.0,1.6,7.44,74
0.0,4.0,0.0,1.0,0.0,,5.0,1.0,2.4,108
8.0,3.0,2.0,1.0,0.0,,14.0,2.8,7.76,69
0.0,0.0,0.0,1.0,0.0,,1.0,0.2,0.16000000000000003,23
3.0,1.0,0.0,0.0,3.0,,7.0,1.4,1.8400000000000003,55
0.0,0.0,1.0,0.0,4.0,,5.0,1.0,2.4,33
0.0,0.0,2.0,0.0,1.0,,3.0,0.6,0.6399999999999999,29
