FR,FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
566.0,507.0,619.0,591.0,568.0,,-1,570.2
651.0,590.0,594.0,613.0,569.0,,-1,603.4
662.0,628.0,695.0,640.0,581.0,,-1,641.2
587.0,612.0,617.0,577.0,611.0,,-1,600.8
527.0,603.0,548.0,582.0,627.0,,-1,577.4
617.0,671.0,611.0,585.0,649.0,,-1,626.6
543.0,536.0,539.0,528.0,559.0,,-1,541.0
629.0,549.0,609.0,660.0,607.0,,-1,610.8
618.0,569.0,590.0,585.0,647.0,,-1,601.8
640.0,615.0,632.0,659.0,623.0,,-1,633.8
527.0,548.0,584.0,558.0,619.0,,-1,567.2
573.0,574.0,524.0,578.0,540.0,,-1,557.8
661.0,639.0,616.0,610.0,639.0,,-1,633.0
608.0,532.0,569.0,511.0,650.0,,-1,574.0
679.0,663.0,660.0,627.0,636.0,,-1,653.0
624.0,582.0,525.0,648.0,574.0,,-1,590.6
623.0,573.0,621.0,589.0,552.0,,-1,591.6
610.0,553.0,659.0,659.0,636.0,,-1,623.4
662.0,649.0,583.0,606.0,572.0,,-1,614.4
551.0,565.0,561.0,569.0,630.0,,-1,575.2
