FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,,TOTAL (SUM),MEAN,STAND. DEVI.,INEQUALITY,SUSTAINABILITY,Aggressivity,TIMESTEPS TO GAME END
78.0,0.0,10.0,48.0,41.0,12.0,14.0,9.0,18.0,63.0,,293.0,29.3,25.09601562001427,0.46450511786858323,503.46956262185375,151.0,999
37.0,43.0,68.0,33.0,31.0,94.0,104.0,74.0,2.0,70.0,,556.0,55.6,30.01732832881701,0.30359712175612036,501.5836841681695,150.0,999
90.0,27.0,82.0,77.0,38.0,12.0,3.0,34.0,50.0,109.0,,522.0,52.2,33.715871633401385,0.3670498077259583,508.7564951905837,140.0,999
53.0,29.0,32.0,44.0,2.0,83.0,80.0,55.0,19.0,81.0,,478.0,47.8,26.460536653665965,0.31297071064232074,458.58390536731747,133.0,999
138.0,54.0,2.0,51.0,55.0,47.0,84.0,5.0,25.0,56.0,,517.0,51.7,37.29892759852486,0.3789168271200835,500.9589332385306,138.0,999
19.0,70.0,43.0,7.0,13.0,103.0,32.0,33.0,112.0,54.0,,486.0,48.6,34.48245930904581,0.3921810691518909,489.48685148520065,136.0,999
71.0,60.0,27.0,77.0,1.0,40.0,39.0,102.0,31.0,68.0,,516.0,51.6,27.90053762922858,0.30348837150486757,506.62121187881667,144.0,999
39.0,18.0,21.0,15.0,9.0,103.0,27.0,49.0,30.0,4.0,,315.0,31.5,27.06381347851777,0.42317460183119177,476.21516155088864,127.0,999
111.0,0.0,94.0,9.0,10.0,55.0,39.0,13.0,0.0,37.0,,368.0,36.8,37.25533518839953,0.5429347811333295,475.15384270499396,174.0,999
55.0,31.0,31.0,38.0,61.0,5.0,87.0,23.0,13.0,36.0,,380.0,38.0,22.93468988235943,0.3315789464958449,542.3759877197659,160.0,999
59.0,17.0,3.0,0.0,1.0,5.0,56.0,28.0,1.0,3.0,,173.0,17.3,21.776363332751405,0.6329479732199539,470.86107606299964,243.0,999
86.0,37.0,95.0,2.0,14.0,3.0,17.0,6.0,21.0,19.0,,300.0,30.0,31.821376463000465,0.5319999982266668,479.1058720060317,139.0,999
26.0,59.0,42.0,9.0,17.0,12.0,76.0,109.0,119.0,4.0,,473.0,47.3,39.86991346867961,0.4644820286163171,521.6414266572674,152.0,999
67.0,58.0,13.0,2.0,113.0,6.0,49.0,22.0,57.0,31.0,,418.0,41.8,32.33202746503844,0.4244019128602825,499.0294070880042,144.0,999
2.0,23.0,33.0,21.0,87.0,11.0,36.0,0.0,15.0,86.0,,314.0,31.4,29.68231796878404,0.49426751434946653,482.0276039454532,144.0,999
60.0,2.0,9.0,12.0,41.0,90.0,24.0,101.0,59.0,66.0,,464.0,46.4,32.702293497551516,0.3995689646561015,511.95766139301907,140.0,999
48.0,94.0,121.0,102.0,43.0,63.0,4.0,16.0,7.0,103.0,,601.0,60.1,41.0035364328493,0.38652246191926387,515.888498124754,117.0,999
50.0,7.0,17.0,13.0,6.0,78.0,2.0,9.0,49.0,10.0,,241.0,24.1,24.3,0.5099585041080561,500.18552166005736,116.0,999
25.0,90.0,41.0,20.0,12.0,7.0,2.0,33.0,3.0,87.0,,320.0,32.0,30.708305065568176,0.5056249984199219,537.3001904958855,141.0,999
