IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
9.0,11.0,10.0,2.0,18.0,,50.0,10.0,26.0,168
18.0,8.0,4.0,20.0,6.0,,56.0,11.2,42.559999999999995,130
3.0,18.0,16.0,2.0,12.0,,51.0,10.2,43.36,137
0.0,13.0,14.0,4.0,5.0,,36.0,7.2,29.360000000000003,143
5.0,53.0,30.0,39.0,40.0,,167.0,33.4,255.44,362
3.0,19.0,2.0,5.0,0.0,,29.0,5.8,46.15999999999999,185
5.0,0.0,0.0,0.0,3.0,,8.0,1.6,4.24,72
5.0,6.0,3.0,11.0,5.0,,30.0,6.0,7.2,119
0.0,26.0,0.0,0.0,52.0,,78.0,15.6,432.64,999
231.0,92.0,209.0,147.0,192.0,,871.0,174.2,2450.1600000000003,999
245.0,224.0,206.0,169.0,47.0,,891.0,178.2,4926.160000000001,999
35.0,112.0,25.0,164.0,11.0,,347.0,69.4,3465.84,999
60.0,132.0,74.0,36.0,38.0,,340.0,68.0,1224.0,999
214.0,12.0,182.0,127.0,147.0,,682.0,136.4,4755.4400000000005,999
182.0,193.0,94.0,219.0,243.0,,931.0,186.2,2573.3599999999997,999
56.0,58.0,21.0,80.0,74.0,,289.0,57.8,422.56000000000006,999
77.0,113.0,150.0,83.0,87.0,,510.0,102.0,727.2,999
8.0,9.0,5.0,0.0,11.0,,33.0,6.6,14.64,128
53.0,23.0,62.0,119.0,79.0,,336.0,67.2,1000.9599999999998,999
