IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
360.0,318.0,268.0,272.0,,1218.0,304.5,1412.75,999
339.0,285.0,188.0,226.0,,1038.0,259.5,3301.25,999
