FR,FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
0.0,3.0,2.0,2.0,1.0,,-1,1.6
6.0,3.0,16.0,1.0,11.0,,-1,7.4
0.0,3.0,2.0,0.0,1.0,,-1,1.2
3.0,15.0,10.0,5.0,3.0,,-1,7.2
4.0,1.0,5.0,1.0,10.0,,-1,4.2
4.0,1.0,2.0,7.0,2.0,,-1,3.2
20.0,15.0,18.0,19.0,17.0,,-1,17.8
4.0,1.0,4.0,7.0,3.0,,-1,3.8
80.0,74.0,117.0,109.0,105.0,,-1,97.0
4.0,9.0,6.0,13.0,38.0,,-1,14.0
13.0,8.0,12.0,15.0,5.0,,-1,10.6
0.0,1.0,0.0,4.0,3.0,,-1,1.6
5.0,1.0,1.0,1.0,2.0,,-1,2.0
3.0,3.0,2.0,3.0,3.0,,-1,2.8
3.0,7.0,1.0,7.0,3.0,,-1,4.2
14.0,1.0,7.0,4.0,4.0,,-1,6.0
2.0,1.0,0.0,2.0,3.0,,-1,1.6
3.0,1.0,1.0,0.0,2.0,,-1,1.4
7.0,5.0,3.0,2.0,2.0,,-1,3.8
3.0,3.0,0.0,3.0,0.0,,-1,1.8
