IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
219.0,310.0,233.0,327.0,292.0,,1381.0,276.2,1822.1600000000003,999
329.0,318.0,290.0,295.0,348.0,,1580.0,316.0,462.8,999
251.0,306.0,182.0,9.0,377.0,,1125.0,225.0,15769.2,999
164.0,171.0,135.0,177.0,152.0,,799.0,159.8,222.95999999999998,999
320.0,366.0,358.0,345.0,317.0,,1706.0,341.2,389.36,999
371.0,397.0,389.0,393.0,395.0,,1945.0,389.0,88.0,999
413.0,433.0,455.0,381.0,363.0,,2045.0,409.0,1121.6,999
467.0,474.0,425.0,451.0,402.0,,2219.0,443.8,720.5600000000001,999
451.0,462.0,445.0,451.0,476.0,,2285.0,457.0,120.4,999
428.0,445.0,434.0,466.0,430.0,,2203.0,440.6,195.83999999999997,999
