IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
142.0,102.0,138.0,35.0,67.0,,484.0,96.8,1694.9599999999998,999
160.0,81.0,265.0,57.0,138.0,,701.0,140.2,5279.76,999
3.0,137.0,37.0,85.0,113.0,,375.0,75.0,2403.2,999
180.0,115.0,144.0,155.0,109.0,,703.0,140.6,685.04,999
27.0,195.0,172.0,83.0,43.0,,520.0,104.0,4599.2,999
66.0,61.0,144.0,105.0,56.0,,432.0,86.4,1129.8400000000001,999
204.0,165.0,22.0,208.0,58.0,,657.0,131.4,5924.64,999
146.0,57.0,48.0,109.0,161.0,,521.0,104.2,2076.56,999
138.0,66.0,50.0,83.0,191.0,,528.0,105.6,2702.6400000000003,999
34.0,40.0,92.0,54.0,124.0,,344.0,68.8,1168.96,999
18.0,59.0,50.0,71.0,49.0,,247.0,49.4,309.04,999
198.0,61.0,165.0,56.0,223.0,,703.0,140.6,4834.64,999
45.0,61.0,116.0,231.0,111.0,,564.0,112.8,4252.96,999
126.0,178.0,100.0,24.0,9.0,,437.0,87.4,4004.6400000000003,999
11.0,3.0,8.0,11.0,2.0,,35.0,7.0,14.8,478
115.0,100.0,17.0,10.0,182.0,,424.0,84.8,4156.5599999999995,999
99.0,183.0,130.0,42.0,72.0,,526.0,105.2,2360.56,999
83.0,110.0,221.0,84.0,62.0,,560.0,112.0,3202.0,999
226.0,186.0,166.0,261.0,148.0,,987.0,197.4,1683.8400000000001,999
233.0,247.0,19.0,160.0,2.0,,661.0,132.2,10775.76,999
