IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
494.0,517.0,518.0,497.0,547.0,,2573.0,514.6,360.24,999
491.0,506.0,508.0,512.0,501.0,,2518.0,503.6,52.23999999999999,999
513.0,502.0,512.0,494.0,506.0,,2527.0,505.4,48.64,999
526.0,507.0,512.0,492.0,521.0,,2558.0,511.6,140.23999999999998,999
497.0,516.0,503.0,521.0,474.0,,2511.0,502.2,273.36,999
495.0,492.0,491.0,523.0,492.0,,2493.0,498.6,150.64,999
506.0,504.0,472.0,526.0,520.0,,2528.0,505.6,351.03999999999996,999
505.0,526.0,526.0,534.0,544.0,,2635.0,527.0,164.8,999
523.0,486.0,523.0,485.0,517.0,,2534.0,506.8,307.36,999
490.0,512.0,488.0,504.0,486.0,,2480.0,496.0,104.0,999
