IA,IA,IA,IA,IA,,IA MEAN,IA VARIANCE,FR MEAN,FR VARIANCE
433.0,423.0,420.0,422.0,436.0,,426.8,41.36,-1,-1
458.0,445.0,456.0,449.0,452.0,,452.0,22.0,-1,-1
