FR,FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
6.0,2.0,4.0,2.0,1.0,,-1,3.0
1.0,0.0,1.0,0.0,6.0,,-1,1.6
2.0,0.0,0.0,5.0,1.0,,-1,1.6
1.0,1.0,1.0,3.0,0.0,,-1,1.2
0.0,0.0,3.0,1.0,1.0,,-1,1.0
2.0,1.0,0.0,6.0,1.0,,-1,2.0
0.0,0.0,4.0,1.0,4.0,,-1,1.8
1.0,1.0,1.0,1.0,1.0,,-1,1.0
3.0,3.0,3.0,6.0,0.0,,-1,3.0
1.0,1.0,0.0,1.0,3.0,,-1,1.2
6.0,14.0,1.0,1.0,4.0,,-1,5.2
2.0,3.0,3.0,0.0,1.0,,-1,1.8
7.0,0.0,4.0,1.0,1.0,,-1,2.6
1.0,1.0,1.0,1.0,0.0,,-1,0.8
8.0,1.0,0.0,0.0,0.0,,-1,1.8
3.0,2.0,0.0,2.0,1.0,,-1,1.6
2.0,1.0,2.0,4.0,0.0,,-1,1.8
1.0,4.0,1.0,0.0,0.0,,-1,1.2
4.0,0.0,2.0,2.0,1.0,,-1,1.8
1.0,3.0,0.0,2.0,0.0,,-1,1.2
1.0,0.0,1.0,2.0,0.0,,-1,0.8
8.0,0.0,4.0,1.0,2.0,,-1,3.0
2.0,1.0,8.0,1.0,1.0,,-1,2.6
6.0,3.0,5.0,1.0,0.0,,-1,3.0
3.0,0.0,1.0,0.0,2.0,,-1,1.2
2.0,3.0,6.0,0.0,0.0,,-1,2.2
3.0,0.0,1.0,0.0,1.0,,-1,1.0
1.0,1.0,1.0,3.0,2.0,,-1,1.6
3.0,5.0,9.0,3.0,4.0,,-1,4.8
2.0,4.0,0.0,0.0,0.0,,-1,1.2
1.0,1.0,2.0,2.0,2.0,,-1,1.6
4.0,2.0,0.0,1.0,7.0,,-1,2.8
2.0,2.0,1.0,0.0,1.0,,-1,1.2
2.0,0.0,3.0,1.0,1.0,,-1,1.4
2.0,2.0,5.0,3.0,3.0,,-1,3.0
1.0,1.0,2.0,2.0,0.0,,-1,1.2
3.0,0.0,3.0,0.0,2.0,,-1,1.6
2.0,1.0,1.0,1.0,2.0,,-1,1.4
4.0,1.0,1.0,1.0,0.0,,-1,1.4
1.0,2.0,0.0,1.0,3.0,,-1,1.4
