FR,FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
393.0,378.0,358.0,380.0,440.0,,-1,389.8
442.0,428.0,419.0,423.0,361.0,,-1,414.6
387.0,406.0,400.0,471.0,401.0,,-1,413.0
386.0,382.0,312.0,398.0,336.0,,-1,362.8
351.0,360.0,375.0,390.0,393.0,,-1,373.8
392.0,407.0,326.0,371.0,313.0,,-1,361.8
460.0,404.0,409.0,428.0,380.0,,-1,416.2
331.0,385.0,364.0,376.0,401.0,,-1,371.4
363.0,349.0,325.0,412.0,399.0,,-1,369.6
366.0,356.0,382.0,369.0,348.0,,-1,364.2
421.0,416.0,406.0,381.0,437.0,,-1,412.2
419.0,398.0,392.0,454.0,400.0,,-1,412.6
390.0,424.0,333.0,444.0,393.0,,-1,396.8
389.0,439.0,364.0,374.0,415.0,,-1,396.2
448.0,440.0,409.0,399.0,438.0,,-1,426.8
422.0,396.0,442.0,445.0,407.0,,-1,422.4
354.0,417.0,405.0,446.0,453.0,,-1,415.0
365.0,433.0,385.0,404.0,394.0,,-1,396.2
403.0,413.0,416.0,391.0,406.0,,-1,405.8
394.0,367.0,325.0,361.0,401.0,,-1,369.6
