IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
133.0,147.0,202.0,116.0,27.0,,625.0,125.0,3232.4,999
243.0,142.0,232.0,182.0,142.0,,941.0,188.2,1845.7600000000002,999
276.0,150.0,266.0,212.0,154.0,,1058.0,211.6,2843.84,999
243.0,111.0,100.0,227.0,112.0,,793.0,158.6,3934.6399999999994,999
77.0,84.0,64.0,39.0,82.0,,346.0,69.2,276.56,999
116.0,161.0,116.0,129.0,81.0,,603.0,120.6,662.64,999
115.0,254.0,194.0,108.0,200.0,,871.0,174.2,3062.5600000000004,999
57.0,239.0,165.0,194.0,245.0,,900.0,180.0,4651.2,999
49.0,39.0,73.0,50.0,54.0,,265.0,53.0,124.4,999
0.0,0.0,0.0,0.0,1.0,,1.0,0.2,0.16000000000000003,999
259.0,187.0,198.0,204.0,160.0,,1008.0,201.6,1051.44,999
321.0,171.0,251.0,191.0,307.0,,1241.0,248.2,3599.3599999999997,999
120.0,110.0,192.0,52.0,130.0,,604.0,120.8,2000.9599999999998,999
217.0,191.0,238.0,275.0,272.0,,1193.0,238.6,1034.64,999
145.0,205.0,193.0,261.0,121.0,,925.0,185.0,2387.2,999
159.0,103.0,197.0,251.0,238.0,,948.0,189.6,2920.6400000000003,999
177.0,219.0,193.0,148.0,95.0,,832.0,166.4,1804.64,999
212.0,177.0,158.0,186.0,285.0,,1018.0,203.6,1958.64,999
68.0,37.0,50.0,14.0,48.0,,217.0,43.4,315.04,999
144.0,142.0,3.0,149.0,49.0,,487.0,97.4,3615.44,999
