IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
300.0,273.0,218.0,292.0,114.0,,1197.0,239.4,4750.24,999
115.0,183.0,187.0,168.0,232.0,,885.0,177.0,1417.2,999
286.0,354.0,275.0,380.0,299.0,,1594.0,318.8,1674.1600000000003,999
26.0,128.0,106.0,224.0,149.0,,633.0,126.6,4107.04,999
293.0,214.0,215.0,235.0,203.0,,1160.0,232.0,1036.8,999
206.0,39.0,155.0,128.0,108.0,,636.0,127.2,3026.16,999
168.0,206.0,0.0,156.0,177.0,,707.0,141.4,5271.04,999
167.0,238.0,192.0,206.0,151.0,,954.0,190.8,922.1599999999999,999
357.0,290.0,368.0,351.0,288.0,,1654.0,330.8,1194.96,999
209.0,77.0,297.0,287.0,261.0,,1131.0,226.2,6495.359999999999,999
205.0,104.0,117.0,125.0,256.0,,807.0,161.4,3488.2399999999993,999
110.0,27.0,168.0,26.0,117.0,,448.0,89.6,3055.4399999999996,999
147.0,54.0,164.0,151.0,60.0,,576.0,115.2,2293.36,999
110.0,170.0,158.0,21.0,202.0,,661.0,132.2,3964.96,999
93.0,203.0,232.0,219.0,219.0,,966.0,193.2,2594.5600000000004,999
309.0,287.0,257.0,240.0,274.0,,1367.0,273.4,567.44,999
351.0,242.0,335.0,332.0,327.0,,1587.0,317.4,1485.8400000000001,999
252.0,203.0,99.0,198.0,106.0,,858.0,171.6,3544.2400000000002,999
114.0,0.0,100.0,0.0,24.0,,238.0,47.6,2448.6400000000003,999
254.0,70.0,119.0,187.0,240.0,,870.0,174.0,4953.2,999
