FR,FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
811.0,812.0,736.0,777.0,779.0,,-1,783.0
793.0,791.0,783.0,810.0,739.0,,-1,783.2
801.0,792.0,788.0,845.0,776.0,,-1,800.4
2.0,13.0,5.0,0.0,6.0,,-1,5.2
538.0,551.0,526.0,537.0,572.0,,-1,544.8
765.0,756.0,752.0,729.0,751.0,,-1,750.6
807.0,814.0,821.0,806.0,803.0,,-1,810.2
813.0,803.0,791.0,755.0,813.0,,-1,795.0
802.0,766.0,793.0,765.0,813.0,,-1,787.8
834.0,869.0,800.0,818.0,779.0,,-1,820.0
802.0,793.0,773.0,769.0,786.0,,-1,784.6
800.0,762.0,801.0,795.0,765.0,,-1,784.6
783.0,792.0,734.0,759.0,767.0,,-1,767.0
841.0,831.0,807.0,803.0,780.0,,-1,812.4
799.0,818.0,759.0,756.0,820.0,,-1,790.4
793.0,718.0,768.0,768.0,771.0,,-1,763.6
734.0,757.0,748.0,678.0,752.0,,-1,733.8
853.0,825.0,801.0,792.0,847.0,,-1,823.6
685.0,688.0,672.0,728.0,628.0,,-1,680.2
797.0,707.0,765.0,781.0,765.0,,-1,763.0
