FR,FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
745.0,735.0,672.0,713.0,726.0,,-1,718.2
11.0,7.0,1.0,0.0,4.0,,-1,4.6
749.0,789.0,773.0,768.0,756.0,,-1,767.0
697.0,661.0,658.0,661.0,669.0,,-1,669.2
791.0,737.0,746.0,767.0,682.0,,-1,744.6
750.0,690.0,739.0,721.0,684.0,,-1,716.8
824.0,814.0,786.0,811.0,725.0,,-1,792.0
642.0,641.0,681.0,672.0,698.0,,-1,666.8
740.0,709.0,761.0,623.0,683.0,,-1,703.2
801.0,769.0,783.0,814.0,756.0,,-1,784.6
764.0,771.0,814.0,790.0,781.0,,-1,784.0
770.0,753.0,814.0,774.0,786.0,,-1,779.4
669.0,632.0,657.0,651.0,603.0,,-1,642.4
820.0,736.0,778.0,808.0,731.0,,-1,774.6
672.0,716.0,753.0,683.0,682.0,,-1,701.2
818.0,760.0,807.0,735.0,777.0,,-1,779.4
865.0,818.0,808.0,844.0,824.0,,-1,831.8
808.0,743.0,743.0,765.0,775.0,,-1,766.8
825.0,829.0,823.0,826.0,822.0,,-1,825.0
2.0,1.0,4.0,2.0,0.0,,-1,1.8
