IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
385.0,437.0,419.0,405.0,387.0,,2033.0,406.6,386.24000000000007,999
458.0,452.0,454.0,477.0,461.0,,2302.0,460.4,78.64,999
500.0,471.0,461.0,511.0,518.0,,2461.0,492.2,500.56000000000006,999
523.0,473.0,507.0,489.0,479.0,,2471.0,494.2,340.16,999
493.0,504.0,500.0,519.0,469.0,,2485.0,497.0,268.4,999
488.0,470.0,478.0,470.0,462.0,,2368.0,473.6,77.43999999999998,999
522.0,466.0,497.0,528.0,476.0,,2489.0,497.8,596.96,999
472.0,512.0,506.0,470.0,509.0,,2469.0,493.8,350.56,999
460.0,441.0,500.0,495.0,482.0,,2378.0,475.6,490.64,999
480.0,489.0,480.0,520.0,499.0,,2468.0,493.6,223.44,999
