FR,FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
1.0,0.0,3.0,3.0,1.0,,-1,1.6
0.0,1.0,2.0,1.0,2.0,,-1,1.2
1.0,0.0,3.0,2.0,3.0,,-1,1.8
4.0,3.0,5.0,3.0,6.0,,-1,4.2
1.0,1.0,3.0,0.0,7.0,,-1,2.4
1.0,4.0,2.0,1.0,0.0,,-1,1.6
4.0,2.0,1.0,2.0,1.0,,-1,2.0
1.0,2.0,3.0,2.0,3.0,,-1,2.2
6.0,1.0,1.0,3.0,5.0,,-1,3.2
14.0,3.0,6.0,14.0,15.0,,-1,10.4
5.0,3.0,0.0,5.0,4.0,,-1,3.4
1.0,0.0,0.0,2.0,2.0,,-1,1.0
2.0,0.0,1.0,3.0,2.0,,-1,1.6
0.0,2.0,2.0,1.0,1.0,,-1,1.2
1.0,1.0,1.0,1.0,1.0,,-1,1.0
1.0,2.0,0.0,1.0,1.0,,-1,1.0
3.0,2.0,1.0,1.0,2.0,,-1,1.8
2.0,3.0,3.0,4.0,0.0,,-1,2.4
2.0,3.0,2.0,3.0,1.0,,-1,2.2
1.0,3.0,1.0,3.0,5.0,,-1,2.6
1.0,1.0,1.0,1.0,1.0,,-1,1.0
2.0,1.0,0.0,1.0,2.0,,-1,1.2
0.0,2.0,2.0,1.0,2.0,,-1,1.4
12.0,3.0,5.0,0.0,16.0,,-1,7.2
1.0,4.0,1.0,7.0,0.0,,-1,2.6
2.0,1.0,1.0,5.0,0.0,,-1,1.8
1.0,1.0,1.0,2.0,0.0,,-1,1.0
2.0,1.0,0.0,0.0,2.0,,-1,1.0
4.0,1.0,1.0,2.0,2.0,,-1,2.0
1.0,1.0,0.0,1.0,2.0,,-1,1.0
1.0,9.0,0.0,4.0,0.0,,-1,2.8
1.0,2.0,10.0,2.0,1.0,,-1,3.2
1.0,1.0,1.0,2.0,0.0,,-1,1.0
2.0,0.0,2.0,3.0,0.0,,-1,1.4
1.0,0.0,1.0,1.0,2.0,,-1,1.0
3.0,1.0,1.0,2.0,0.0,,-1,1.4
0.0,3.0,1.0,0.0,2.0,,-1,1.2
3.0,2.0,1.0,1.0,4.0,,-1,2.2
1.0,0.0,3.0,1.0,2.0,,-1,1.4
3.0,1.0,1.0,0.0,8.0,,-1,2.6
