FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,,TOTAL (SUM),MEAN,STAND. DEVI.,INEQUALITY,SUSTAINABILITY,Aggressivity,TIMESTEPS TO GAME END
21.0,15.0,91.0,83.0,23.0,11.0,23.0,107.0,58.0,17.0,,449.0,44.9,34.578750700394025,0.4091314022068343,471.0607340819729,500.0,999
5.0,16.0,3.0,20.0,8.0,0.0,17.0,3.0,3.0,20.0,,95.0,9.5,7.473285756613352,0.43263157439335187,201.85988766485747,69.0,561
0.0,25.0,13.0,26.0,0.0,23.0,35.0,19.0,18.0,22.0,,181.0,18.1,10.568348972285122,0.31767955625591404,103.15729209286701,30.0,239
30.0,16.0,47.0,12.0,31.0,41.0,18.0,2.0,0.0,10.0,,207.0,20.7,15.146286673637205,0.4140096598357022,124.09101814447686,44.0,343
16.0,19.0,3.0,16.0,4.0,4.0,7.0,10.0,22.0,16.0,,117.0,11.7,6.588626564011653,0.3153846126890204,66.45289562089008,26.0,195
19.0,17.0,0.0,10.0,26.0,13.0,17.0,0.0,17.0,0.0,,119.0,11.9,8.7,0.40084033276604764,86.24320116442406,29.0,273
12.0,16.0,16.0,3.0,15.0,19.0,11.0,7.0,17.0,0.0,,116.0,11.6,6.036555309114628,0.28620689408442335,62.57448889671805,21.0,171
15.0,13.0,17.0,19.0,5.0,12.0,0.0,12.0,19.0,0.0,,112.0,11.2,6.80881781221968,0.33392856844706637,44.1390462058098,17.0,110
19.0,16.0,5.0,3.0,7.0,1.0,0.0,4.0,12.0,11.0,,78.0,7.8,6.11228271597445,0.4410256353714662,39.003921102658566,15.0,101
6.0,7.0,17.0,11.0,6.0,10.0,15.0,0.0,7.0,7.0,,86.0,8.6,4.6303347611160905,0.29069767103839916,33.28512759186494,17.0,116
0.0,11.0,0.0,9.0,0.0,6.0,0.0,0.0,12.0,7.0,,45.0,4.5,4.780167361086848,0.5711110984197534,40.346645546771846,32.0,167
22.0,4.0,17.0,14.0,0.0,18.0,7.0,11.0,15.0,14.0,,122.0,12.2,6.4156059729381765,0.2934426205455523,41.104054314026726,11.0,108
9.0,17.0,8.0,14.0,18.0,10.0,9.0,9.0,6.0,0.0,,100.0,10.0,5.019960159204453,0.27199999728,38.68017267213528,17.0,107
10.0,18.0,11.0,10.0,0.0,4.0,5.0,11.0,9.0,4.0,,82.0,8.2,4.812483766206387,0.3195121912254611,42.22875219494038,21.0,117
11.0,1.0,4.0,20.0,24.0,12.0,12.0,10.0,11.0,10.0,,115.0,11.5,6.328506932918696,0.2913043452930057,43.94904753055816,10.0,135
12.0,17.0,12.0,12.0,11.0,17.0,12.0,11.0,13.0,7.0,,124.0,12.4,2.764054992217051,0.1145161281087409,38.251393173029825,9.0,93
16.0,18.0,10.0,12.0,13.0,16.0,0.0,8.0,2.0,0.0,,95.0,9.5,6.438167441127949,0.37999999600000006,39.70754269701968,18.0,109
11.0,8.0,11.0,16.0,10.0,0.0,7.0,0.0,14.0,9.0,,86.0,8.6,4.983974317750845,0.3162790660897783,38.63526967554463,16.0,93
16.0,1.0,14.0,13.0,15.0,10.0,1.0,12.0,12.0,7.0,,101.0,10.1,5.146843692983109,0.2742574230271542,38.0381041480269,14.0,84
1.0,0.0,0.0,0.0,0.0,18.0,5.0,12.0,20.0,23.0,,79.0,7.9,8.93812060782355,0.6037974607114246,52.546444204319826,29.0,147
0.0,14.0,16.0,14.0,7.0,12.0,15.0,16.0,9.0,21.0,,124.0,12.4,5.535341001239219,0.23870967549427682,45.42771395748155,11.0,120
18.0,4.0,10.0,14.0,14.0,13.0,16.0,2.0,13.0,8.0,,112.0,11.2,4.894895300208167,0.2410714264190051,43.74421952402702,14.0,119
