FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
847.0,816.0,856.0,857.0,,-1,844.0
2.0,1.0,2.0,1.0,,-1,1.5
762.0,762.0,796.0,659.0,,-1,744.75
746.0,711.0,743.0,685.0,,-1,721.25
