IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
165.0,156.0,100.0,33.0,23.0,,477.0,95.4,3534.6400000000003,999
123.0,165.0,84.0,144.0,153.0,,669.0,133.8,808.5600000000001,999
153.0,86.0,2.0,134.0,154.0,,529.0,105.8,3302.56,999
94.0,95.0,125.0,172.0,126.0,,612.0,122.4,807.4399999999999,999
273.0,89.0,186.0,224.0,268.0,,1040.0,208.0,4545.2,999
254.0,317.0,246.0,316.0,192.0,,1325.0,265.0,2223.2,999
103.0,142.0,143.0,173.0,167.0,,728.0,145.6,608.64,999
144.0,3.0,4.0,99.0,25.0,,275.0,55.0,3212.4,999
16.0,13.0,19.0,23.0,12.0,,83.0,16.6,16.240000000000002,999
121.0,0.0,16.0,5.0,0.0,,142.0,28.4,2177.8399999999992,999
102.0,100.0,147.0,89.0,125.0,,563.0,112.6,433.03999999999996,999
7.0,16.0,55.0,67.0,41.0,,186.0,37.2,516.1600000000001,999
108.0,109.0,40.0,91.0,87.0,,435.0,87.0,630.0,999
58.0,141.0,126.0,125.0,136.0,,586.0,117.2,912.5599999999998,999
38.0,23.0,156.0,159.0,116.0,,492.0,98.4,3326.6400000000003,999
85.0,141.0,128.0,150.0,96.0,,600.0,120.0,641.2,999
36.0,165.0,108.0,114.0,60.0,,483.0,96.6,2024.64,999
119.0,118.0,250.0,203.0,149.0,,839.0,167.8,2642.16,999
24.0,8.0,200.0,4.0,111.0,,347.0,69.4,5779.039999999999,999
84.0,98.0,109.0,137.0,80.0,,508.0,101.6,419.44000000000005,999
263.0,267.0,229.0,208.0,263.0,,1230.0,246.0,550.4,999
157.0,200.0,171.0,172.0,184.0,,884.0,176.8,207.76,999
165.0,119.0,116.0,142.0,64.0,,606.0,121.2,1130.9599999999998,999
156.0,112.0,132.0,71.0,116.0,,587.0,117.4,777.4399999999999,999
195.0,162.0,155.0,150.0,110.0,,772.0,154.4,739.4399999999999,999
200.0,129.0,187.0,142.0,79.0,,737.0,147.4,1876.2400000000002,999
22.0,130.0,177.0,160.0,121.0,,610.0,122.0,2906.8,999
96.0,47.0,57.0,0.0,0.0,,200.0,40.0,1334.8,999
28.0,24.0,17.0,28.0,19.0,,116.0,23.2,20.559999999999995,999
204.0,123.0,150.0,84.0,108.0,,669.0,133.8,1690.5600000000002,999
